name,family,description,needs_volume,needs_benchmark,needs_columns
tsi_25_13,momentum,"True Strength Index (double lissage exponentiel 25 puis 13 des variations), dans [−1, 1].",False,False,
ultimate_osc,momentum,"Ultimate Oscillator de Williams (7, 14, 28 barres), ramené à [−1, 1].",False,False,
mom_z_15,momentum,Z-score du rendement sur 15 barres par rapport au dernier jour (1440 barres).,False,False,
mom_z_60,momentum,Z-score du rendement sur 60 barres par rapport au dernier jour (1440 barres).,False,False,
atr_pct_14,volatilite,ATR de Wilder sur 14 barres rapporté au close.,False,False,
bb_pctb_20_2,volatilite,"%B de Bollinger (20, 2) : position du close dans les bandes (0 = bande basse, 1 = bande haute).",False,False,
bb_width_20_2,volatilite,"Largeur des bandes de Bollinger (20, 2) rapportée à la moyenne mobile.",False,False,
bb_width_rel_20,volatilite,"Largeur de Bollinger (20, 2) rapportée à sa moyenne du dernier jour (compression ou détente).",False,False,
keltner_pos_20,volatilite,"Position dans le canal de Keltner : (close − EMA 20) / (2 × ATR 10), ±1 sur les bandes.",False,False,
donchian_pos_20,volatilite,"Position du close dans le canal de Donchian sur 20 barres, dans [−0,5 ; 0,5].",False,False,
donchian_pos_60,volatilite,"Position du close dans le canal de Donchian sur 60 barres, dans [−0,5 ; 0,5].",False,False,
rv_15,volatilite,Volatilité réalisée par barre : racine de la moyenne des rendements au carré sur 15 barres.,False,False,
rv_60,volatilite,Volatilité réalisée par barre : racine de la moyenne des rendements au carré sur 60 barres.,False,False,
rv_240,volatilite,Volatilité réalisée par barre : racine de la moyenne des rendements au carré sur 240 barres.,False,False,
parkinson_15,volatilite,"Volatilité de Parkinson (range haut-bas) par barre, sur 15 barres.",False,False,
garman_klass_15,volatilite,"Volatilité de Garman-Klass (OHLC) par barre, sur 15 barres.",False,False,
parkinson_60,volatilite,"Volatilité de Parkinson (range haut-bas) par barre, sur 60 barres.",False,False,
garman_klass_60,volatilite,"Volatilité de Garman-Klass (OHLC) par barre, sur 60 barres.",False,False,
rv_ratio_15_240,volatilite,Rapport de volatilité réalisée courte / longue (15 / 240 barres).,False,False,
rv_ratio_60_1440,volatilite,Rapport de volatilité réalisée courte / longue (60 / 1440 barres).,False,False,
range_atr_14,volatilite,Range de la barre (haut − bas) en ATR 14.,False,False,
jump_ratio_240,volatilite,"Part des sauts dans la variance réalisée sur 240 barres : max(RV − BV, 0) / RV (BV = variation bipuissance).",False,False,
ret15_x_rv_ratio,volatilite,Interaction : rendement 15 barres en σ × rapport de volatilité 60 / 1440 barres.,False,False,
obv_z_240,volume,Z-score roulant sur 240 barres de l'On-Balance Volume.,True,False,
obv_slope_15,volume,"Pente de l'OBV sur 15 barres rapportée au volume échangé, dans [−1, 1].",True,False,
obv_slope_60,volume,"Pente de l'OBV sur 60 barres rapportée au volume échangé, dans [−1, 1].",True,False,
vwap_dev_session,volume,"Écart logarithmique du close au VWAP de la journée UTC (réinitialisé à 00:00), en unités σ60.",True,False,
vwap_dev_60,volume,"Écart logarithmique du close au VWAP roulant sur 60 barres, en unités σ60.",True,False,
vwap_dev_240,volume,"Écart logarithmique du close au VWAP roulant sur 240 barres, en unités σ60.",True,False,
mfi_14,volume,"Money Flow Index sur 14 barres, recentré : (MFI − 50) / 50, dans [−1, 1].",True,False,
cmf_20,volume,"Chaikin Money Flow sur 20 barres, dans [−1, 1].",True,False,
force_index_13,volume,"Force index : EMA 13 de (rendement × volume) / EMA 13 du volume, en unités σ60.",True,False,
rel_volume_60,volume,Volume de la barre rapporté à sa moyenne sur 60 barres.,True,False,
rel_volume_1440,volume,Volume de la barre rapporté à sa moyenne sur 1440 barres.,True,False,
rel_volume_tod,volume,Volume rapporté à la moyenne de la même minute sur les 7 jours précédents (profil intraday causal).,True,False,
adl_z_240,volume,Z-score roulant sur 240 barres de la ligne accumulation/distribution de Chaikin.,True,False,
vpt_z_240,volume,Z-score roulant sur 240 barres du Volume-Price Trend.,True,False,
eom_14,volume,"Ease of Movement sans dimension : Δln(milieu) × range relatif / volume relatif, moyenné sur 14 barres, / σ60².",True,False,
taker_imb_1,flux,"Déséquilibre taker de la barre : 2 × taker_buy_volume / volume − 1, dans [−1, 1].",True,False,taker_buy_volume
taker_imb_5,flux,"Déséquilibre taker cumulé sur 5 barres : 2 × Σ achats taker / Σ volume − 1, dans [−1, 1].",True,False,taker_buy_volume
taker_imb_15,flux,"Déséquilibre taker cumulé sur 15 barres : 2 × Σ achats taker / Σ volume − 1, dans [−1, 1].",True,False,taker_buy_volume
taker_imb_60,flux,"Déséquilibre taker cumulé sur 60 barres : 2 × Σ achats taker / Σ volume − 1, dans [−1, 1].",True,False,taker_buy_volume
taker_imb_z_15,flux,"Z-score (1 jour) du déséquilibre taker sur 15 barres, qui corrige le biais acheteur ou vendeur propre à la paire.",True,False,taker_buy_volume
cvd_z_60,flux,Z-score roulant sur 60 barres du delta de volume cumulé (CVD = Σ achats taker − ventes taker).,True,False,taker_buy_volume
cvd_z_240,flux,Z-score roulant sur 240 barres du delta de volume cumulé (CVD = Σ achats taker − ventes taker).,True,False,taker_buy_volume
trades_rel_60,flux,Nombre de trades de la barre rapporté à sa moyenne sur 60 barres.,True,False,trades
avg_trade_size_rel_60,flux,Taille moyenne des trades (volume / trades) rapportée à celle des 60 dernières barres.,True,False,trades
tick_imb_15,flux,"Déséquilibre signé par la règle du tick sur 15 barres (signe de la dernière variation non nulle), dans [−1, 1].",True,False,
tick_imb_60,flux,"Déséquilibre signé par la règle du tick sur 60 barres (signe de la dernière variation non nulle), dans [−1, 1].",True,False,
ret15_x_taker_abs15,flux,Interaction : rendement 15 barres en σ × |déséquilibre taker 15 barres| (retournement accentué par le flux).,True,False,taker_buy_volume
clv,microstructure,"Position du close dans le range de la barre (close location value), dans [−1, 1].",False,False,
clv_15,microstructure,"Moyenne sur 15 barres de la position du close dans le range de la barre, dans [−1, 1].",False,False,
body_ratio,microstructure,"Corps de la bougie rapporté au range : (close − open) / (haut − bas), dans [−1, 1].",False,False,
upper_wick,microstructure,"Mèche haute rapportée au range de la barre, dans [0, 1].",False,False,
lower_wick,microstructure,"Mèche basse rapportée au range de la barre, dans [0, 1].",False,False,
amihud_60,microstructure,"Illiquidité d'Amihud sur 60 barres, en log : ln(Σ|r| / Σ volume en quote).",True,False,
amihud_rel_60,microstructure,"Illiquidité d'Amihud (60 barres, log) moins sa moyenne du dernier jour.",True,False,
roll_spread_60,microstructure,"Estimateur de spread de Roll sur 60 barres : 2√max(−cov(r_t, r_t−1), 0), en fraction du prix.",False,False,
roll_spread_240,microstructure,"Estimateur de spread de Roll sur 240 barres : 2√max(−cov(r_t, r_t−1), 0), en fraction du prix.",False,False,
cs_spread_60,microstructure,"Estimateur de spread de Corwin-Schultz (hauts et bas de 2 barres), moyenné sur 60 barres, en fraction du prix.",False,False,
zero_ret_frac_60,microstructure,"Part des barres à rendement nul sur 60 barres (illiquidité, pas de cotation).",False,False,
zscore_20,statistique,Z-score du close par rapport à sa moyenne et son écart-type sur 20 barres.,False,False,
zscore_60,statistique,Z-score du close par rapport à sa moyenne et son écart-type sur 60 barres.,False,False,
zscore_240,statistique,Z-score du close par rapport à sa moyenne et son écart-type sur 240 barres.,False,False,
acf1_60,statistique,Autocorrélation roulante des rendements au retard 1 sur 60 barres.,False,False,
acf1_240,statistique,Autocorrélation roulante des rendements au retard 1 sur 240 barres.,False,False,
vr_5_240,statistique,"Ratio de variance de Lo-MacKinlay (q = 5) sur 240 barres : < 1 retournement, > 1 tendance.",False,False,
skew_60,statistique,Asymétrie (skewness) roulante des rendements sur 60 barres.,False,False,
kurt_60,statistique,Kurtosis en excès roulante des rendements sur 60 barres.,False,False,
skew_240,statistique,Asymétrie (skewness) roulante des rendements sur 240 barres.,False,False,
kurt_240,statistique,Kurtosis en excès roulante des rendements sur 240 barres.,False,False,
hour_sin,calendrier,"Heure UTC de la journée encodée sur un cercle (sinus, période 24 h).",False,False,
hour_cos,calendrier,"Heure UTC de la journée encodée sur un cercle (cosinus, période 24 h).",False,False,
dow_sin,calendrier,"Jour de la semaine UTC (avec l'heure) encodé sur un cercle (sinus, période 7 jours).",False,False,
dow_cos,calendrier,"Jour de la semaine UTC (avec l'heure) encodé sur un cercle (cosinus, période 7 jours).",False,False,
is_weekend,calendrier,"1 le samedi et le dimanche (UTC), 0 sinon.",False,False,
session_asia,calendrier,"1 pendant la séance de Tokyo (09:00–15:00 heure de Tokyo, soit 00:00–06:00 UTC), du lundi au vendredi.",False,False,
session_europe,calendrier,"1 pendant la séance de Londres (08:00–16:30 heure de Londres, heure d'été gérée), du lundi au vendredi.",False,False,
session_us,calendrier,"1 pendant la séance de New York (09:30–16:00 heure de New York, 13:30–20:00 UTC en été), du lundi au vendredi, jours fériés ignorés.",False,False,
us_open_window,calendrier,"1 dans la fenêtre de ±30 minutes autour de l'ouverture de New York (09:00–10:00 heure de New York), en semaine.",False,False,
min_since_funding,calendrier,"Minutes écoulées depuis le dernier fixing de funding (00:00, 08:00, 16:00 UTC), dans [0, 480[.",False,False,
min_to_funding,calendrier,"Minutes restantes avant le prochain fixing de funding (00:00, 08:00, 16:00 UTC), dans ]0, 480].",False,False,
ret_since_day_open,calendrier,Rendement logarithmique depuis l'ouverture de la journée UTC (00:00).,False,False,
ret_since_day_open_vol,calendrier,Rendement depuis 00:00 UTC en unités de volatilité (σ60 × √nombre de barres écoulées).,False,False,
ret15_x_weekend,calendrier,Interaction : rendement 15 barres en σ × indicateur de week-end (retournement plus fort le week-end).,False,False,
bench_ret_1,marche,Rendement logarithmique de la référence (BTC pour les altcoins) sur 1 barres (avance-retard).,False,True,
bench_ret_5,marche,Rendement logarithmique de la référence (BTC pour les altcoins) sur 5 barres (avance-retard).,False,True,
bench_ret_15,marche,Rendement logarithmique de la référence (BTC pour les altcoins) sur 15 barres (avance-retard).,False,True,
rel_ret_5,marche,"Rendement relatif à la référence sur 5 barres : ln(C) − ln(référence), variation sur 5 barres.",False,True,
rel_ret_15,marche,"Rendement relatif à la référence sur 15 barres : ln(C) − ln(référence), variation sur 15 barres.",False,True,
rel_ret_60,marche,"Rendement relatif à la référence sur 60 barres : ln(C) − ln(référence), variation sur 60 barres.",False,True,
beta_bench_240,marche,Bêta roulant des rendements 1 barre par rapport à la référence sur 240 barres.,False,True,
corr_bench_240,marche,Corrélation roulante des rendements 1 barre avec la référence sur 240 barres.,False,True,
resid_ret_15,marche,Rendement idiosyncratique sur 15 barres : rendement − bêta 240 × rendement de la référence.,False,True,
funding_rate_bp,derives,"Dernier taux de funding connu, en points de base par période de funding.",False,False,funding_rate
funding_rate_z_30d,derives,Z-score du taux de funding sur 30 jours (dès 1 jour d'historique).,False,False,funding_rate
oi_chg_5,derives,"Variation de l'open interest sur 5 barres, en %.",False,False,open_interest
oi_chg_15,derives,"Variation de l'open interest sur 15 barres, en %.",False,False,open_interest
oi_chg_60,derives,"Variation de l'open interest sur 60 barres, en %.",False,False,open_interest
oi_z_1440,derives,Z-score de l'open interest sur 1 jour (1440 barres).,False,False,open_interest
oi_x_ret_15,derives,Interaction variation d'OI (%) × rendement en σ sur 15 barres : > 0 si OI et prix vont dans le même sens (hausse + OI en hausse = nouvelles positions longues).,False,False,open_interest
oi_x_ret_60,derives,Interaction variation d'OI (%) × rendement en σ sur 60 barres : > 0 si OI et prix vont dans le même sens (hausse + OI en hausse = nouvelles positions longues).,False,False,open_interest
ls_ratio_top_log,derives,Logarithme du ratio long/short des top traders (positions).,False,False,ls_ratio_top
ls_ratio_top_z_1440,derives,Z-score sur 1 jour du logarithme du ratio long/short des top traders (positions).,False,False,ls_ratio_top
ls_ratio_accounts_log,derives,Logarithme du ratio long/short de l'ensemble des comptes.,False,False,ls_ratio_accounts
ls_ratio_accounts_z_1440,derives,Z-score sur 1 jour du logarithme du ratio long/short de l'ensemble des comptes.,False,False,ls_ratio_accounts
taker_ls_ratio_log,derives,Logarithme du ratio de volume taker acheteur/vendeur des futures.,False,False,taker_ls_ratio
taker_ls_ratio_z_1440,derives,Z-score sur 1 jour du logarithme du ratio de volume taker acheteur/vendeur des futures.,False,False,taker_ls_ratio
